SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04466.JPG,7008 3944 3504 1972,inf,51.78 m
DSC04467.JPG,7008 3944 3504 1972,108.91 m,51.78 m
DSC04473.JPG,7008 3944 3504 1972,118.76 m,51.78 m
DSC04474.JPG,7008 3944 3504 1972,108.91 m,51.78 m
DSC04477.JPG,7008 3944 3504 1972,104.29 m,51.78 m
DSC04478.JPG,7008 3944 3504 1972,104.29 m,51.78 m
DSC04482.JPG,7008 3944 3504 1972,95.64 m,51.78 m
DSC04488.JPG,7008 3944 3504 1972,99.88 m,51.78 m
DSC04491.JPG,7008 3944 3504 1972,99.88 m,51.78 m
DSC04492.JPG,7008 3944 3109 1972,113.73 m,51.78 m
DSC04493.JPG,7008 3944 3898 1972,95.64 m,51.78 m
DSC04494.JPG,7008 3944 3701 1972,108.91 m,51.78 m
DSC04496.JPG,7008 3944 3109 1972,113.73 m,51.78 m
DSC04503.JPG,7008 3944 3306 1972,105.88 m,53.36 m
DSC04505.JPG,7008 3944 3109 1972,105.88 m,53.36 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04561.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04566.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC04567.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC04568.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04573.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC04579.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04580.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04587.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC04588.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04606.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04607.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC04608.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04609.JPG,7008 3944 3504 1972,85.31 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05407.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05408.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05677.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC05679.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05680.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05681.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC05682.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC05684.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05687.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05690.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05692.JPG,7008 3944 3504 1972,78.24 m,58.24 m
